track_id,track_name,artist_name,album_name,popularity,duration_ms,explicit,release_date,genre
POP00147,Amount Attorney,Billie Eilish,Unknown Album,66.0,185972.0,0.0,2022-10-03,
R-N01689,Interest Well,Frank Ocean,Sound Already,72.0,225364.0,1.0,2019-07-25,r-n-b
HIP00729,Identify Huge,Cardi B,Machine Focus,54.0,165367.0,0.0,2024-03-30,hip-hop
ELE00096,Despite Company,Four Tet,Concern Imagine,44.0,174131.0,0.0,2021-11-25,electronic
POP00370,Design Within,Taylor Swift,Society Strong,75.0,262063.0,0.0,2019-06-16,pop
HIP01383,Southern Believe,Nicki Minaj,Case Else,71.0,154387.0,0.0,2017-03-30,hip-hop
ROC02287,Teacher Better,Foo Fighters,During Suddenly,,232508.0,0.0,2023-03-30,rock
HIP00901,Easy Who,Nicki Minaj,Fly Follow,69.0,186927.0,1.0,2016-07-30,hip-hop
R-N01135,Speak Whether,Unknown Artist,Organization Fight,69.0,213711.0,1.0,2019-05-30,r-n-b
ROC02143,Actually Respond,Unknown Artist,Section Without,59.0,171573.0,1.0,2017-11-09,rock
R-N02655,Finish Beautiful,The Weeknd,Reveal Against,81.0,165880.0,0.0,2021-05-30,r-n-b
R-N00182,Son Give,SZA,Hot Their,65.0,203438.0,0.0,,r-n-b
R-N01630,Side Green,Ella Mai,Campaign General,61.0,230450.0,0.0,2019-05-21,r-n-b
ROC02273,Issue Physical,Coldplay,Dark Past,59.0,180118.0,0.0,,
R-N02532,Fish Happy,H.E.R.,Above Car,72.0,227538.0,1.0,2021-05-03,r-n-b
ROC02088,Clear Positive,Imagine Dragons,Each Quickly,65.0,189663.0,0.0,2016-03-30,rock
R-N00764,Customer Available,Beyonce,Or Even,67.0,217549.0,1.0,2022-10-07,r-n-b
ROC01724,Down Anything,Unknown Artist,Whether Discuss,74.0,214425.0,0.0,2024-11-05,rock
POP01429,Room Forget,Olivia Rodrigo,While Entire,73.0,261456.0,0.0,2023-11-30,pop
HIP01876,Authority Star,Cardi B,Team Black,61.0,230976.0,0.0,2020-03-30,hip-hop
R-N00842,Fire Response,Frank Ocean,Almost Foreign,68.0,236436.0,0.0,2018-09-12,r-n-b
ROC01341,Need Energy,Arctic Monkeys,Under School,65.0,256431.0,0.0,2022-04-09,rock
HIP00514,Participant Detail,Kendrick Lamar,Bad We,72.0,244192.0,1.0,2018-09-23,hip-hop
ELE01113,Trip Scene,Four Tet,Game Near,55.0,172108.0,0.0,2016-01-30,electronic
R-N02808,Step Those,Jhene Aiko,Unknown Album,61.0,215707.0,0.0,2022-04-30,r-n-b
POP02470,Model Population,Olivia Rodrigo,Idea Seek,82.0,198657.0,0.0,2021-02-25,pop
HIP00781,Strong Road,Post Malone,Week Relate,67.0,169884.0,0.0,2018-06-05,hip-hop
ROC01541,Past Whom,Linkin Park,Health Free,62.0,258912.0,0.0,2020-03-29,rock
POP02843,Bit Weight,Billie Eilish,Unknown Album,67.0,169994.0,,2024-05-30,pop
HIP02758,On Stand,Drake,Husband Class,66.0,199504.0,0.0,2015-05-08,hip-hop
ELE02063,Nature Prepare,Unknown Artist,Way Without,63.0,166257.0,0.0,2018-04-30,electronic
HIP00605,Situation Military,Travis Scott,Sense Manage,64.0,183147.0,0.0,,hip-hop
ELE00712,Skin Buy,Calvin Harris,Unknown Album,44.0,220352.0,1.0,2024-10-06,electronic
HIP00225,Church National,Post Malone,Usually Center,63.0,196984.0,0.0,2022-05-11,hip-hop
POP01029,Allow Study,Billie Eilish,Unknown Album,68.0,214324.0,0.0,2021-10-22,pop
R-N01826,Smile Administration,H.E.R.,Real Two,74.0,171832.0,0.0,2015-10-30,r-n-b
POP01755,According Night,Billie Eilish,A Significant,84.0,164665.0,0.0,,pop
R-N02482,Generation Affect,Ella Mai,Field Into,58.0,173817.0,1.0,2018-11-30,r-n-b
ROC00212,Huge White,Foo Fighters,Unknown Album,58.0,172703.0,0.0,2020-03-30,rock
ELE00368,Leg As,Four Tet,Total Woman,63.0,231793.0,0.0,2023-03-30,electronic
HIP01012,Cell Require,Travis Scott,Both Green,63.0,204759.0,1.0,,hip-hop
HIP01543,It Significant,Nicki Minaj,Water Usually,66.0,247176.0,0.0,2020-03-30,hip-hop
R-N00397,Four Oil,Frank Ocean,Arm Strategy,65.0,268589.0,0.0,2021-07-30,r-n-b
ROC02706,Condition Factor,Imagine Dragons,Second Speech,64.0,239327.0,1.0,2016-06-30,rock
POP02808,Data Teacher,Billie Eilish,Daughter Economic,81.0,235959.0,1.0,2022-02-05,pop
HIP01901,Role Affect,Kendrick Lamar,Responsibility Boy,63.0,184527.0,0.0,2020-09-24,hip-hop
POP02337,Message Avoid,Billie Eilish,Development Safe,75.0,213175.0,0.0,2023-03-30,
ROC01970,According Author,Imagine Dragons,Her Family,,164453.0,,2015-03-30,rock
HIP02634,Set Everyone,Cardi B,Experience Season,64.0,160021.0,1.0,,hip-hop
ELE00144,Should Sport,Martin Garrix,Set Detail,51.0,156634.0,0.0,2019-12-25,electronic
POP02234,Painting Tend,Unknown Artist,Work Apply,66.0,265537.0,1.0,2019-11-08,pop
POP02520,Son Leader,Olivia Rodrigo,As Still,76.0,,0.0,,
