user_id,age_group,gender,country,device_type,signup_source,signup_date,trial_end_date,subscription_date,cancellation_date,last_active_date,is_premium,free_trial_used,cancelled_subscription,subscription_plan,monthly_cost,payment_method,daily_listening_mins,skip_rate,repeat_play_count,playlist_count
U01300,25-34,Prefer not to say,US,mobile,social_media,2023-03-30,2023-12-26,2024-01-10,2025-01-24,2024-07-26,1,1,1,individual,9.99,card,55.0,0.54,,39.0
U00592,45-54,F,UK,mobile,ad,2021-11-30,2021-12-15,2022-02-19,,2024-09-21,1,1,0,student,4.99,,137.0,0.5,84.0,4.0
U01320,25-34,F,US,desktop,social_media,2023-08-30,2023-09-30,2023-11-30,,2024-11-13,1,1,0,student,4.99,paypal,22.0,0.77,9.0,31.0
U01068,25-34,,UK,desktop,referral,2022-03-30,,,,2024-03-07,0,0,0,free,0.0,,58.0,0.83,60.0,28.0
U00030,25-34,F,France,smart_tv,referral,2023-03-30,2023-03-30,,,2023-12-30,0,1,0,free,0.0,,150.0,0.63,25.0,37.0
U01059,25-34,M,France,desktop,organic,2021-12-30,2022-01-24,2022-05-30,,2023-02-20,1,1,0,student,4.99,card,26.0,0.22,27.0,29.0
U00713,35-44,M,US,mobile,ad,2022-11-30,,2022-11-20,2024-10-10,2023-01-01,1,0,1,family,15.99,card,104.0,0.31,68.0,27.0
U00454,45-54,M,India,desktop,social_media,2022-04-30,2022-05-20,2022-03-30,,2023-03-30,1,1,0,individual,9.99,apple_pay,156.0,0.72,23.0,31.0
U01648,18-24,Other,UK,mobile,,2021-02-14,,2021-08-03,,2023-04-06,1,0,0,individual,,google_pay,136.0,0.94,47.0,7.0
U00758,55+,F,,smart_tv,ad,2023-08-21,,2024-03-30,2025-03-06,2023-05-27,1,0,1,family,15.99,paypal,31.0,,27.0,11.0
U00942,55+,Other,UK,mobile,social_media,2021-03-30,,,,2023-03-05,0,0,0,free,0.0,,100.0,0.11,16.0,29.0
U00835,35-44,F,US,tablet,organic,2022-07-22,2022-08-21,,,2024-03-30,0,1,0,free,0.0,,82.0,0.82,62.0,13.0
U00830,25-34,,UK,mobile,ad,2021-11-30,2021-12-22,2022-02-05,2022-09-03,2024-07-30,1,1,1,individual,9.99,google_pay,175.0,0.48,68.0,13.0
U00234,55+,Other,France,mobile,social_media,2023-12-30,2024-01-17,,,2024-03-30,0,1,0,free,0.0,,89.0,0.76,1.0,29.0
U00789,25-34,F,US,smart_tv,,2021-04-26,,2021-07-28,2021-11-21,2024-06-12,1,0,1,,9.99,google_pay,35.0,0.87,14.0,0.0
U00707,25-34,F,India,mobile,referral,2023-08-15,2023-03-30,,,2024-03-30,0,1,0,free,0.0,,113.0,0.01,76.0,34.0
U00071,18-24,Other,UK,mobile,ad,2021-03-30,2021-08-18,,,2024-10-19,0,1,0,free,0.0,,82.0,0.11,25.0,28.0
U01122,35-44,Other,Germany,mobile,social_media,2021-03-01,2021-02-02,2021-03-30,,2024-04-30,1,1,0,student,4.99,google_pay,124.0,,95.0,19.0
U00129,55+,M,France,desktop,,2022-05-30,,,,2023-12-20,0,0,0,free,0.0,,22.0,0.95,20.0,45.0
U01538,18-24,F,,desktop,organic,2023-10-17,2023-03-30,2024-02-29,,2023-12-19,1,1,0,student,4.99,paypal,121.0,0.12,97.0,20.0
U00057,55+,Prefer not to say,Canada,mobile,organic,2022-08-29,2022-03-30,2023-01-02,,2024-01-20,1,1,0,student,4.99,,19.0,0.14,5.0,27.0
U01515,18-24,Prefer not to say,India,desktop,referral,2023-08-15,2023-09-14,2023-08-26,,2023-10-30,1,1,0,family,15.99,apple_pay,151.0,0.07,12.0,37.0
U00620,45-54,Other,UK,smart_tv,ad,2021-05-28,2021-06-27,2021-06-30,2021-03-30,2024-02-28,1,1,1,individual,9.99,paypal,104.0,0.56,19.0,47.0
U01647,35-44,F,,,social_media,2021-07-26,,,,2024-08-23,0,0,0,free,0.0,,130.0,0.9,79.0,38.0
U01677,35-44,Other,France,tablet,organic,2021-06-29,2021-07-29,2021-03-30,,2024-12-08,1,1,0,,4.99,apple_pay,148.0,0.35,9.0,40.0
U00417,55+,M,US,desktop,social_media,2021-03-30,2021-08-30,2021-09-30,2023-02-01,2023-09-17,1,1,1,family,15.99,apple_pay,74.0,0.79,93.0,27.0
U00986,18-24,M,US,smart_tv,social_media,2022-11-30,,,,2024-10-12,0,0,0,free,0.0,,35.0,0.81,27.0,40.0
U00875,,Prefer not to say,UK,mobile,social_media,2021-03-24,2021-04-23,2021-09-18,,2023-03-30,1,1,0,student,4.99,card,157.0,0.41,66.0,39.0
U01084,25-34,Other,UK,smart_tv,referral,2021-05-30,2021-03-30,,,,0,1,0,free,0.0,,148.0,0.54,26.0,33.0
U01095,18-24,Other,UK,mobile,organic,2023-03-30,,2024-03-30,,2023-03-30,1,0,0,family,15.99,google_pay,137.0,0.55,51.0,29.0
U01042,,Prefer not to say,UK,mobile,organic,2022-05-25,2022-06-24,,,,0,1,0,free,0.0,,70.0,0.03,89.0,38.0
