track_id,track_name,artist_name,album_name,popularity,duration_ms,explicit,release_date,genre
POP00147,Amount Attorney,Billie Eilish,,66,185972.0,False,10/03/2022,
R-N01689,Interest Well,Frank Ocean,Sound Already,72,225364.0,1,07-25-2019,R&B
HIP00729,Identify Huge,Cardi B,Machine Focus,54,165367.0,False,2024,hip hop
ELE00096,Despite Company,Four Tet,Concern Imagine,44,174131.0,0,25/11/2021,EDM
POP00370,Design Within,Taylor Swift,Society Strong,75,262063.0,clean,16/06/2019,pop music
HIP01383,Southern Believe,Nicki Minaj,Case Else,71,154387.0,0,2017,hip hop
ROC02287,Teacher Better,Foo Fighters,During Suddenly,,232508.0,no,2023,Rock
HIP00901,Easy Who,Nicki Minaj,Fly Follow,69,186927.0,True,Jul 2016,hip hop
R-N01135,Speak Whether,,Organization Fight,69,213711.0,explicit,May 2019,rnb
ROC02143,Actually Respond,,Section Without,59,171573.0,True,11-09-2017,ROCK
R-N02655,Finish Beautiful,The Weeknd,Reveal Against,81,165880.0,clean,May 2021,r-n-b
R-N00182,Son Give,SZA,Hot Their,65,203438.0,False,,RNB
R-N01630,Side Green,Ella Mai,Campaign General,61,230450.0,no,05-21-2019,rnb
ROC02273,Issue Physical,Coldplay,Dark Past,59,180118.0,False,,
R-N02532,Fish Happy,H.E.R.,Above Car,72,227538.0,True,05/03/2021,r-n-b
ROC02088,Clear Positive,Imagine Dragons,Each Quickly,65,189663.0,0,2016,rock
R-N00764,Customer Available,Beyonce,Or Even,67,217549.0,1,10-07-2022,r-n-b
ROC01724,Down Anything,,Whether Discuss,74,214425.0,0,2024-11-05,ROCK
POP01429,Room Forget,Olivia Rodrigo,While Entire,73,261456.0,clean,Nov 2023,POP
HIP01876,Authority Star,Cardi B,Team Black,61,230976.0,clean,2020,Hip-Hop
R-N00842,Fire Response,Frank Ocean,Almost Foreign,68,236436.0,clean,2018-09-12,r-n-b
ROC01341,Need Energy,Arctic Monkeys,Under School,65,256431.0,clean,2022-04-09,ROCK
HIP00514,Participant Detail,Kendrick Lamar,Bad We,72,244192.0,True,09-23-2018,Hip-Hop
ELE01113,Trip Scene,Four Tet,Game Near,55,172108.0,False,Jan 2016,Electronic
R-N02808,Step Those,Jhene Aiko,,61,215707.0,0,04-30-2022,R&B
POP02470,Model Population,Olivia Rodrigo,Idea Seek,82,198657.0,False,25/02/2021,pop music
HIP00781,Strong Road,Post Malone,Week Relate,67,169884.0,False,06-05-2018,hip-hop
ROC01541,Past Whom,Linkin Park,Health Free,62,258912.0,False,29/03/2020,Rock Music
POP02843,Bit Weight,Billie Eilish,,67,169994.0,,May 2024,pop music
HIP02758,On Stand,Drake,Husband Class,66,199504.0,False,05-08-2015,Hip-Hop
ELE02063,Nature Prepare,,Way Without,63,166257.0,0,Apr 2018,EDM
